f1_macro,f1_weighted,acuracia,bal_acuracia,auc_roc,f1_por_classe,score_composto,seed,cv_f1_mean,cv_f1_std,modelo_nome,n_amostras,timestamp
0.9834,0.9877,0.9875,0.9917,0.9996,"{'Alto': 0.9873, 'Baixo': 1.0, 'Medio': 0.963}",0.9912,42,0.8517,0.0577,RandomForest_wide,400,2026-06-04 19:38:44
0.9842,0.9876,0.9875,0.9915,0.998,"{'Alto': 0.987, 'Baixo': 1.0, 'Medio': 0.9655}",0.9908,777,0.9106,0.0021,RandomForest_deep,400,2026-06-04 19:37:21
0.9834,0.9873,0.9875,0.9762,0.9989,"{'Alto': 0.9873, 'Baixo': 1.0, 'Medio': 0.963}",0.9878,7,0.9124,0.048,GradientBoosting,400,2026-06-04 19:41:23
0.9826,0.9873,0.9875,0.9744,0.9992,"{'Alto': 0.9877, 'Baixo': 1.0, 'Medio': 0.96}",0.9872,42,0.8587,0.0426,RandomForest_deep,400,2026-06-04 19:36:56
0.9842,0.9874,0.9875,0.9778,0.9946,"{'Alto': 0.987, 'Baixo': 1.0, 'Medio': 0.9655}",0.9869,2024,0.8857,0.0423,GradientBoosting,400,2026-06-04 19:41:09
0.969,0.9755,0.975,0.9829,0.9983,"{'Alto': 0.9737, 'Baixo': 1.0, 'Medio': 0.9333}",0.9827,777,0.9047,0.0079,RandomForest_default,400,2026-06-04 19:36:01
0.969,0.9755,0.975,0.9829,0.9976,"{'Alto': 0.9737, 'Baixo': 1.0, 'Medio': 0.9333}",0.9824,7,0.9121,0.0366,RandomForest_default,400,2026-06-04 19:35:59
0.969,0.9755,0.975,0.9829,0.9956,"{'Alto': 0.9737, 'Baixo': 1.0, 'Medio': 0.9333}",0.9817,7,0.9177,0.0278,RandomForest_wide,400,2026-06-04 19:39:12
0.9676,0.9756,0.975,0.9833,0.9953,"{'Alto': 0.9744, 'Baixo': 1.0, 'Medio': 0.9286}",0.9812,789,0.9023,0.0276,GradientBoosting,400,2026-06-04 19:41:06
0.9672,0.9756,0.975,0.9836,0.9951,"{'Alto': 0.9748, 'Baixo': 1.0, 'Medio': 0.9268}",0.981,2025,0.9067,0.0082,RandomForest_deep,600,2026-06-04 19:37:39
0.969,0.975,0.975,0.969,0.996,"{'Alto': 0.9737, 'Baixo': 1.0, 'Medio': 0.9333}",0.9791,2024,0.9163,0.0213,RandomForest_default,400,2026-06-04 19:35:54
0.9593,0.9675,0.9667,0.9774,0.9971,"{'Alto': 0.9649, 'Baixo': 1.0, 'Medio': 0.913}",0.9769,7,0.9285,0.0205,RandomForest_deep,600,2026-06-04 19:37:47
0.957,0.9677,0.9667,0.9781,0.9974,"{'Alto': 0.9661, 'Baixo': 1.0, 'Medio': 0.9048}",0.9763,2025,0.9058,0.0169,RandomForest_default,600,2026-06-04 19:36:10
0.9605,0.9703,0.97,0.9665,0.9967,"{'Alto': 0.9697, 'Baixo': 1.0, 'Medio': 0.9118}",0.9753,99,0.9233,0.0205,RandomForest_deep,1000,2026-06-04 19:38:35
0.9597,0.9697,0.97,0.9541,0.9961,"{'Alto': 0.97, 'Baixo': 1.0, 'Medio': 0.9091}",0.9724,2025,0.9345,0.0059,GradientBoosting,1000,2026-06-04 19:43:10
0.9588,0.9697,0.97,0.9529,0.9962,"{'Alto': 0.9703, 'Baixo': 1.0, 'Medio': 0.9062}",0.9718,99,0.9077,0.0185,GradientBoosting,1000,2026-06-04 19:43:18
0.9525,0.9611,0.96,0.9728,0.9936,"{'Alto': 0.9574, 'Baixo': 1.0, 'Medio': 0.9}",0.9717,456,0.9388,0.0125,RandomForest_deep,1000,2026-06-04 19:38:21
0.9543,0.9652,0.965,0.9571,0.9946,"{'Alto': 0.9645, 'Baixo': 1.0, 'Medio': 0.8986}",0.9701,314,0.9091,0.0164,GradientBoosting,1000,2026-06-04 19:43:14
0.9503,0.963,0.9625,0.9577,0.9992,"{'Alto': 0.962, 'Baixo': 1.0, 'Medio': 0.8889}",0.9701,42,0.8689,0.0478,RandomForest_default,400,2026-06-04 19:35:50
0.9507,0.964,0.9625,0.971,0.9876,"{'Alto': 0.9744, 'Baixo': 0.9811, 'Medio': 0.8966}",0.9688,123,0.8883,0.0226,RandomForest_wide,400,2026-06-04 19:38:48
0.9453,0.9593,0.9583,0.9606,0.9965,"{'Alto': 0.958, 'Baixo': 1.0, 'Medio': 0.878}",0.9676,2024,0.9223,0.0206,GradientBoosting,600,2026-06-04 19:41:45
0.9525,0.9621,0.9625,0.9468,0.9946,"{'Alto': 0.961, 'Baixo': 1.0, 'Medio': 0.8966}",0.9671,2024,0.9167,0.034,RandomForest_deep,400,2026-06-04 19:37:08
0.9503,0.962,0.9625,0.9438,0.9963,"{'Alto': 0.962, 'Baixo': 1.0, 'Medio': 0.8889}",0.9663,7,0.9294,0.0436,RandomForest_deep,400,2026-06-04 19:37:19
0.9403,0.9518,0.95,0.9658,0.9967,"{'Alto': 0.9459, 'Baixo': 1.0, 'Medio': 0.875}",0.9661,777,0.8893,0.0119,RandomForest_wide,400,2026-06-04 19:39:16
0.947,0.9586,0.9583,0.9513,0.9942,"{'Alto': 0.9573, 'Baixo': 1.0, 'Medio': 0.8837}",0.9655,7,0.9372,0.0033,GradientBoosting,600,2026-06-04 19:42:00
0.9477,0.963,0.9625,0.956,0.9893,"{'Alto': 0.963, 'Baixo': 1.0, 'Medio': 0.88}",0.9654,99,0.824,0.0149,GradientBoosting,400,2026-06-04 19:41:20
0.9408,0.956,0.955,0.9565,0.9957,"{'Alto': 0.9637, 'Baixo': 0.9853, 'Medio': 0.8732}",0.9646,99,0.9156,0.0182,RandomForest_default,1000,2026-06-04 19:36:49
0.9427,0.957,0.9563,0.9535,0.9918,"{'Alto': 0.9554, 'Baixo': 1.0, 'Medio': 0.8727}",0.9634,99,0.9225,0.0148,RandomForest_deep,800,2026-06-04 19:38:09
0.9436,0.9557,0.955,0.9501,0.9915,"{'Alto': 0.9583, 'Baixo': 0.9925, 'Medio': 0.88}",0.9628,123,0.9225,0.022,RandomForest_deep,1000,2026-06-04 19:38:19
0.938,0.951,0.95,0.9505,0.9972,"{'Alto': 0.9474, 'Baixo': 1.0, 'Medio': 0.8667}",0.9624,777,0.9046,0.0097,GradientBoosting,400,2026-06-04 19:41:27
0.9329,0.9521,0.95,0.9557,0.9976,"{'Alto': 0.9565, 'Baixo': 0.9905, 'Medio': 0.8519}",0.9618,7,0.93,0.0302,GradientBoosting,800,2026-06-04 19:42:40
0.9368,0.9512,0.95,0.9535,0.9938,"{'Alto': 0.9529, 'Baixo': 0.9926, 'Medio': 0.8649}",0.9614,314,0.9188,0.0082,RandomForest_deep,1000,2026-06-04 19:38:33
0.9414,0.9579,0.9583,0.9364,0.996,"{'Alto': 0.9593, 'Baixo': 1.0, 'Medio': 0.8649}",0.9612,2025,0.9167,0.0081,GradientBoosting,600,2026-06-04 19:41:49
0.9427,0.9553,0.955,0.9442,0.9911,"{'Alto': 0.9588, 'Baixo': 0.9925, 'Medio': 0.8767}",0.9612,123,0.9197,0.0207,GradientBoosting,1000,2026-06-04 19:42:53
0.9413,0.9565,0.9563,0.9449,0.9898,"{'Alto': 0.956, 'Baixo': 1.0, 'Medio': 0.8679}",0.9605,99,0.9212,0.0249,GradientBoosting,800,2026-06-04 19:42:36
0.9314,0.944,0.9417,0.9605,0.9951,"{'Alto': 0.9369, 'Baixo': 1.0, 'Medio': 0.8571}",0.9605,7,0.9078,0.022,RandomForest_wide,600,2026-06-04 19:39:46
0.9343,0.9467,0.945,0.9567,0.9928,"{'Alto': 0.9462, 'Baixo': 0.9925, 'Medio': 0.8642}",0.9603,456,0.9303,0.022,RandomForest_default,1000,2026-06-04 19:36:41
0.9413,0.9548,0.955,0.9388,0.993,"{'Alto': 0.9543, 'Baixo': 1.0, 'Medio': 0.8696}",0.9602,42,0.9127,0.0062,GradientBoosting,1000,2026-06-04 19:42:49
0.9354,0.9515,0.95,0.9551,0.9908,"{'Alto': 0.9492, 'Baixo': 1.0, 'Medio': 0.8571}",0.9602,2024,0.9198,0.0259,RandomForest_deep,600,2026-06-04 19:37:37
0.9376,0.9512,0.95,0.9535,0.9892,"{'Alto': 0.9479, 'Baixo': 1.0, 'Medio': 0.8649}",0.9601,789,0.9033,0.02,RandomForest_default,1000,2026-06-04 19:36:43
0.9376,0.9512,0.95,0.9535,0.9886,"{'Alto': 0.9479, 'Baixo': 1.0, 'Medio': 0.8649}",0.9599,789,0.9089,0.0128,RandomForest_wide,1000,2026-06-04 19:40:30
0.9404,0.9566,0.9563,0.9429,0.9893,"{'Alto': 0.9625, 'Baixo': 0.9907, 'Medio': 0.8679}",0.9596,777,0.9144,0.0171,GradientBoosting,800,2026-06-04 19:42:44
0.9408,0.9521,0.95,0.9613,0.9799,"{'Alto': 0.9589, 'Baixo': 0.9811, 'Medio': 0.8824}",0.9595,456,0.8571,0.0628,RandomForest_wide,400,2026-06-04 19:38:51
0.9323,0.9513,0.95,0.9481,0.996,"{'Alto': 0.9506, 'Baixo': 1.0, 'Medio': 0.8462}",0.9595,7,0.9273,0.0027,RandomForest_deep,800,2026-06-04 19:38:11
0.9279,0.9444,0.9417,0.9617,0.9947,"{'Alto': 0.9391, 'Baixo': 1.0, 'Medio': 0.8444}",0.9594,2025,0.8933,0.0167,RandomForest_wide,600,2026-06-04 19:39:38
0.9401,0.9552,0.955,0.9429,0.9893,"{'Alto': 0.9548, 'Baixo': 1.0, 'Medio': 0.8657}",0.9594,7,0.9195,0.0122,GradientBoosting,1000,2026-06-04 19:43:23
0.9376,0.9504,0.95,0.9423,0.9929,"{'Alto': 0.9479, 'Baixo': 1.0, 'Medio': 0.8649}",0.9592,777,0.9068,0.0188,GradientBoosting,1000,2026-06-04 19:43:27
0.9353,0.9511,0.95,0.9494,0.9914,"{'Alto': 0.9487, 'Baixo': 1.0, 'Medio': 0.8571}",0.9592,99,0.9183,0.0111,RandomForest_default,800,2026-06-04 19:36:30
0.9354,0.9508,0.95,0.9444,0.9926,"{'Alto': 0.9492, 'Baixo': 1.0, 'Medio': 0.8571}",0.9587,99,0.9218,0.0128,RandomForest_default,600,2026-06-04 19:36:14
0.9333,0.9512,0.95,0.9494,0.9918,"{'Alto': 0.961, 'Baixo': 0.9818, 'Medio': 0.8571}",0.9587,789,0.8973,0.0243,RandomForest_default,400,2026-06-04 19:35:54
0.9344,0.9513,0.95,0.9474,0.9909,"{'Alto': 0.9554, 'Baixo': 0.9907, 'Medio': 0.8571}",0.9583,777,0.9021,0.0144,RandomForest_default,800,2026-06-04 19:36:34
0.9387,0.9512,0.95,0.9479,0.9862,"{'Alto': 0.96, 'Baixo': 0.9811, 'Medio': 0.875}",0.9583,456,0.8911,0.0404,RandomForest_deep,400,2026-06-04 19:37:03
0.9332,0.9461,0.945,0.945,0.9946,"{'Alto': 0.9424, 'Baixo': 1.0, 'Medio': 0.8571}",0.9582,456,0.9447,0.0078,GradientBoosting,1000,2026-06-04 19:42:57
0.9333,0.9512,0.95,0.9494,0.9901,"{'Alto': 0.961, 'Baixo': 0.9818, 'Medio': 0.8571}",0.9581,789,0.8722,0.0244,RandomForest_wide,400,2026-06-04 19:38:55
0.9333,0.9466,0.945,0.949,0.9909,"{'Alto': 0.9468, 'Baixo': 0.9925, 'Medio': 0.8608}",0.9578,123,0.9096,0.026,RandomForest_wide,1000,2026-06-04 19:40:22
0.9359,0.9499,0.95,0.9369,0.9924,"{'Alto': 0.9548, 'Baixo': 0.9907, 'Medio': 0.8621}",0.9573,456,0.9238,0.0021,RandomForest_deep,800,2026-06-04 19:37:57
0.9334,0.9514,0.95,0.9453,0.9899,"{'Alto': 0.962, 'Baixo': 0.9811, 'Medio': 0.8571}",0.9572,123,0.8868,0.0156,RandomForest_deep,400,2026-06-04 19:36:59
0.9354,0.9505,0.95,0.9406,0.9893,"{'Alto': 0.949, 'Baixo': 1.0, 'Medio': 0.8571}",0.9568,789,0.9209,0.0172,RandomForest_deep,1000,2026-06-04 19:38:23
0.9314,0.9433,0.9417,0.9504,0.9893,"{'Alto': 0.9369, 'Baixo': 1.0, 'Medio': 0.8571}",0.9565,789,0.9037,0.0068,RandomForest_wide,600,2026-06-04 19:39:31
0.9315,0.9462,0.945,0.9432,0.9914,"{'Alto': 0.9524, 'Baixo': 0.9851, 'Medio': 0.8571}",0.9562,123,0.9192,0.0251,RandomForest_default,1000,2026-06-04 19:36:40
0.9292,0.9461,0.945,0.9437,0.9932,"{'Alto': 0.9529, 'Baixo': 0.9853, 'Medio': 0.8493}",0.9561,314,0.9009,0.0125,RandomForest_default,1000,2026-06-04 19:36:48
0.9279,0.9436,0.9417,0.95,0.992,"{'Alto': 0.9391, 'Baixo': 1.0, 'Medio': 0.8444}",0.9561,99,0.9223,0.0108,RandomForest_wide,600,2026-06-04 19:39:43
0.9334,0.9514,0.95,0.9453,0.9846,"{'Alto': 0.962, 'Baixo': 0.9811, 'Medio': 0.8571}",0.9554,123,0.8908,0.0452,RandomForest_default,400,2026-06-04 19:35:52
0.9224,0.9362,0.9333,0.9548,0.9947,"{'Alto': 0.9273, 'Baixo': 1.0, 'Medio': 0.84}",0.9553,7,0.906,0.0215,RandomForest_default,600,2026-06-04 19:36:15
0.9302,0.9445,0.9437,0.9399,0.9924,"{'Alto': 0.9474, 'Baixo': 0.9907, 'Medio': 0.8525}",0.9553,2025,0.9107,0.0098,RandomForest_default,800,2026-06-04 19:36:26
0.9312,0.9446,0.9437,0.9399,0.9914,"{'Alto': 0.9412, 'Baixo': 1.0, 'Medio': 0.8525}",0.9553,456,0.9081,0.0156,RandomForest_wide,800,2026-06-04 19:39:57
0.9235,0.942,0.94,0.9465,0.9947,"{'Alto': 0.9474, 'Baixo': 0.9853, 'Medio': 0.8378}",0.9547,99,0.9034,0.0196,RandomForest_wide,1000,2026-06-04 19:40:42
0.931,0.95,0.95,0.931,0.9925,"{'Alto': 0.9508, 'Baixo': 1.0, 'Medio': 0.8421}",0.9544,123,0.915,0.0072,GradientBoosting,600,2026-06-04 19:41:34
0.9284,0.9427,0.9417,0.941,0.9916,"{'Alto': 0.9464, 'Baixo': 0.9877, 'Medio': 0.8511}",0.9543,789,0.913,0.0158,RandomForest_deep,600,2026-06-04 19:37:34
0.9284,0.9427,0.9417,0.941,0.9903,"{'Alto': 0.9464, 'Baixo': 0.9877, 'Medio': 0.8511}",0.9539,789,0.9066,0.003,RandomForest_default,600,2026-06-04 19:36:08
0.9194,0.9404,0.9375,0.95,0.995,"{'Alto': 0.9367, 'Baixo': 1.0, 'Medio': 0.8214}",0.9538,7,0.9202,0.0035,RandomForest_default,800,2026-06-04 19:36:33
0.9258,0.943,0.9417,0.9389,0.9927,"{'Alto': 0.9402, 'Baixo': 1.0, 'Medio': 0.8372}",0.9534,99,0.9346,0.0183,RandomForest_deep,600,2026-06-04 19:37:44
0.9247,0.9391,0.9375,0.9428,0.9928,"{'Alto': 0.9396, 'Baixo': 0.9907, 'Medio': 0.8438}",0.9534,2025,0.9034,0.013,RandomForest_wide,800,2026-06-04 19:40:05
0.9292,0.9501,0.95,0.9281,0.9927,"{'Alto': 0.9571, 'Baixo': 0.9907, 'Medio': 0.84}",0.9533,42,0.9037,0.0057,GradientBoosting,800,2026-06-04 19:42:08
0.9251,0.942,0.94,0.9465,0.9883,"{'Alto': 0.9375, 'Baixo': 1.0, 'Medio': 0.8378}",0.953,7,0.9223,0.0247,RandomForest_default,1000,2026-06-04 19:36:51
0.9287,0.9439,0.9437,0.9327,0.9914,"{'Alto': 0.9481, 'Baixo': 0.9907, 'Medio': 0.8475}",0.9529,456,0.9213,0.016,RandomForest_default,800,2026-06-04 19:36:22
0.9251,0.9415,0.94,0.9403,0.9906,"{'Alto': 0.9375, 'Baixo': 1.0, 'Medio': 0.8378}",0.9526,2025,0.9292,0.0083,RandomForest_deep,1000,2026-06-04 19:38:28
0.9279,0.9421,0.9417,0.9316,0.9921,"{'Alto': 0.9391, 'Baixo': 1.0, 'Medio': 0.8444}",0.9525,789,0.9093,0.0072,GradientBoosting,600,2026-06-04 19:41:42
0.9231,0.937,0.935,0.9437,0.9917,"{'Alto': 0.9297, 'Baixo': 1.0, 'Medio': 0.8395}",0.9524,777,0.9109,0.0187,RandomForest_deep,1000,2026-06-04 19:38:41
0.9282,0.9485,0.95,0.9147,0.9959,"{'Alto': 0.9512, 'Baixo': 1.0, 'Medio': 0.8333}",0.9514,42,0.8353,0.0243,GradientBoosting,400,2026-06-04 19:40:55
0.9235,0.9421,0.9417,0.9278,0.9946,"{'Alto': 0.9412, 'Baixo': 1.0, 'Medio': 0.8293}",0.9511,99,0.9197,0.0271,GradientBoosting,600,2026-06-04 19:41:56
0.9183,0.9327,0.93,0.9465,0.9905,"{'Alto': 0.929, 'Baixo': 0.9925, 'Medio': 0.8333}",0.9504,456,0.9202,0.0192,RandomForest_wide,1000,2026-06-04 19:40:27
0.9208,0.9368,0.935,0.9374,0.9912,"{'Alto': 0.9312, 'Baixo': 1.0, 'Medio': 0.8312}",0.9502,42,0.918,0.0158,RandomForest_deep,1000,2026-06-04 19:38:16
0.9252,0.9395,0.9375,0.9391,0.9852,"{'Alto': 0.9459, 'Baixo': 0.9811, 'Medio': 0.8485}",0.9502,456,0.8792,0.0497,RandomForest_default,400,2026-06-04 19:35:53
0.9224,0.9355,0.9333,0.9446,0.9853,"{'Alto': 0.9273, 'Baixo': 1.0, 'Medio': 0.84}",0.95,42,0.9123,0.0138,RandomForest_deep,600,2026-06-04 19:37:25
0.9225,0.9441,0.9437,0.9261,0.9929,"{'Alto': 0.9441, 'Baixo': 1.0, 'Medio': 0.8235}",0.95,42,0.9053,0.009,RandomForest_deep,800,2026-06-04 19:37:51
0.9179,0.9368,0.935,0.9369,0.9929,"{'Alto': 0.9418, 'Baixo': 0.9853, 'Medio': 0.8267}",0.9497,314,0.8901,0.0178,RandomForest_wide,1000,2026-06-04 19:40:38
0.9217,0.938,0.9375,0.9284,0.9933,"{'Alto': 0.9412, 'Baixo': 0.9907, 'Medio': 0.8333}",0.9497,2025,0.9243,0.0103,RandomForest_deep,800,2026-06-04 19:38:04
0.9235,0.9421,0.9417,0.9278,0.9901,"{'Alto': 0.9412, 'Baixo': 1.0, 'Medio': 0.8293}",0.9495,777,0.8643,0.0382,GradientBoosting,600,2026-06-04 19:42:04
0.9261,0.9491,0.95,0.9211,0.9887,"{'Alto': 0.9634, 'Baixo': 0.9815, 'Medio': 0.8333}",0.9494,314,0.9022,0.035,RandomForest_deep,800,2026-06-04 19:38:07
0.9236,0.9443,0.9437,0.9259,0.9896,"{'Alto': 0.95, 'Baixo': 0.9907, 'Medio': 0.8302}",0.9492,777,0.9055,0.0274,RandomForest_deep,800,2026-06-04 19:38:13
0.9123,0.9347,0.9313,0.946,0.9918,"{'Alto': 0.9299, 'Baixo': 1.0, 'Medio': 0.807}",0.9488,7,0.9026,0.0068,RandomForest_wide,800,2026-06-04 19:40:14
0.9248,0.942,0.9437,0.911,0.9945,"{'Alto': 0.9441, 'Baixo': 1.0, 'Medio': 0.8302}",0.9483,2025,0.9243,0.0136,GradientBoosting,800,2026-06-04 19:42:28
0.9181,0.9389,0.9375,0.9324,0.9892,"{'Alto': 0.9419, 'Baixo': 0.9908, 'Medio': 0.8214}",0.9478,99,0.9114,0.0067,RandomForest_wide,800,2026-06-04 19:40:11
0.9151,0.9381,0.9375,0.9237,0.9955,"{'Alto': 0.9487, 'Baixo': 0.9818, 'Medio': 0.8148}",0.9472,789,0.8946,0.0274,RandomForest_deep,400,2026-06-04 19:37:05
0.9167,0.9365,0.935,0.9296,0.9903,"{'Alto': 0.9333, 'Baixo': 1.0, 'Medio': 0.8169}",0.9469,7,0.9313,0.0216,RandomForest_deep,1000,2026-06-04 19:38:38
0.9194,0.9368,0.9375,0.9139,0.9933,"{'Alto': 0.9367, 'Baixo': 1.0, 'Medio': 0.8214}",0.946,789,0.9397,0.0117,GradientBoosting,800,2026-06-04 19:42:20
0.9164,0.9352,0.9333,0.9333,0.9863,"{'Alto': 0.931, 'Baixo': 1.0, 'Medio': 0.8182}",0.9459,777,0.8738,0.0508,RandomForest_deep,600,2026-06-04 19:37:49
0.9132,0.9322,0.93,0.9336,0.9893,"{'Alto': 0.9312, 'Baixo': 0.9926, 'Medio': 0.8158}",0.9456,2025,0.9194,0.0087,RandomForest_wide,1000,2026-06-04 19:40:36
0.9124,0.9353,0.9333,0.9321,0.99,"{'Alto': 0.9402, 'Baixo': 0.9877, 'Medio': 0.8095}",0.9456,123,0.9165,0.008,RandomForest_deep,600,2026-06-04 19:37:28
0.9124,0.9353,0.9333,0.9321,0.9896,"{'Alto': 0.9402, 'Baixo': 0.9877, 'Medio': 0.8095}",0.9455,2024,0.9037,0.0399,RandomForest_wide,600,2026-06-04 19:39:34
0.9124,0.9353,0.9333,0.9321,0.9896,"{'Alto': 0.9402, 'Baixo': 0.9877, 'Medio': 0.8095}",0.9455,2024,0.9065,0.0226,RandomForest_default,600,2026-06-04 19:36:09
