acuracia,bal_acuracia,precision_macro,recall_macro,f1_macro,f2_macro,precision_weighted,recall_weighted,f1_weighted,f2_weighted,auc_roc,score_composto,cv_f1_mean,cv_f1_std,modelo_nome,n_amostras,timestamp,Alto_precision,Alto_recall,Alto_f1,Alto_f2,Baixo_precision,Baixo_recall,Baixo_f1,Baixo_f2,Medio_precision,Medio_recall,Medio_f1,Medio_f2
0.9875,0.9917,0.9762,0.9917,0.9834,0.9882,0.9884,0.9875,0.9877,0.9875,0.9996,0.9902,0.8517,0.0577,RandomForest_wide,400,2026-06-04 19:47:54,1.0,0.975,0.9873,0.9799,1.0,1.0,1.0,1.0,0.9286,1.0,0.963,0.9848
0.9875,0.9915,0.9778,0.9915,0.9842,0.9884,0.9883,0.9875,0.9876,0.9875,0.998,0.9899,0.9106,0.0021,RandomForest_deep,400,2026-06-04 19:46:50,1.0,0.9744,0.987,0.9794,1.0,1.0,1.0,1.0,0.9333,1.0,0.9655,0.9859
0.9875,0.9762,0.9917,0.9762,0.9834,0.979,0.9878,0.9875,0.9873,0.9874,0.9989,0.9863,0.9124,0.048,GradientBoosting,400,2026-06-04 19:50:23,0.975,1.0,0.9873,0.9949,1.0,1.0,1.0,1.0,1.0,0.9286,0.963,0.942
0.9875,0.9778,0.9915,0.9778,0.9842,0.9802,0.9878,0.9875,0.9874,0.9874,0.9946,0.9859,0.8857,0.0423,GradientBoosting,400,2026-06-04 19:50:09,0.9744,1.0,0.987,0.9948,1.0,1.0,1.0,1.0,1.0,0.9333,0.9655,0.9459
0.9875,0.9744,0.9919,0.9744,0.9826,0.9775,0.9878,0.9875,0.9873,0.9874,0.9992,0.9855,0.8587,0.0426,RandomForest_deep,400,2026-06-04 19:46:33,0.9756,1.0,0.9877,0.995,1.0,1.0,1.0,1.0,1.0,0.9231,0.96,0.9375
0.975,0.9829,0.9583,0.9829,0.969,0.9769,0.9781,0.975,0.9755,0.9749,0.9983,0.9805,0.9047,0.0079,RandomForest_default,400,2026-06-04 19:45:57,1.0,0.9487,0.9737,0.9585,1.0,1.0,1.0,1.0,0.875,1.0,0.9333,0.9722
0.975,0.9829,0.9583,0.9829,0.969,0.9769,0.9781,0.975,0.9755,0.9749,0.9976,0.9803,0.9121,0.0366,RandomForest_default,400,2026-06-04 19:45:56,1.0,0.9487,0.9737,0.9585,1.0,1.0,1.0,1.0,0.875,1.0,0.9333,0.9722
0.975,0.9829,0.9583,0.9829,0.969,0.9769,0.9781,0.975,0.9755,0.9749,0.9956,0.9797,0.9177,0.0278,RandomForest_wide,400,2026-06-04 19:48:15,1.0,0.9487,0.9737,0.9585,1.0,1.0,1.0,1.0,0.875,1.0,0.9333,0.9722
0.975,0.9836,0.9545,0.9836,0.9672,0.9766,0.9784,0.975,0.9756,0.975,0.9951,0.9794,0.9067,0.0082,RandomForest_deep,600,2026-06-04 19:47:03,1.0,0.9508,0.9748,0.9603,1.0,1.0,1.0,1.0,0.8636,1.0,0.9268,0.9694
0.975,0.9833,0.9556,0.9833,0.9676,0.9766,0.9783,0.975,0.9756,0.9749,0.9953,0.9794,0.9023,0.0276,GradientBoosting,400,2026-06-04 19:50:05,1.0,0.95,0.9744,0.9596,1.0,1.0,1.0,1.0,0.8667,1.0,0.9286,0.9701
